"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","test_create_valid_user[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_test","",""
"","108","test_deposit_incorrect_balance[chromium-5001-Deposit amount exceeds the 5000 limit]","src.tests.api","2026-07-15","passed","2026-07-15","TestDeposit","deposit_test","",""
"","642","test_transfer_between_one_users[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransfer","transfer_test","",""
"","1552","test_update_name_in_the_profile[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestEditProfile","edit_profile_ui_test","",""
"","544","test_user_can_deposit[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","94","test_create_invalid_user[chromium-yo-qs7X#AO67s-USER-username-Username must be between 3 and 15 characters]","src.tests.api","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_test","",""
"","246","test_deposit_incorrect_balance[chromium--1-\u274c Please enter a valid amount.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","1049","test_transfer_between_users[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","129","test_transfer_with_fraud_check_invalid_amount[chromium-0-Invalid accounts or amount]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","808","test_user_can_deposit[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","86","test_update_name_in_the_profile[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestUpdateProfile","update_profile_test","",""
"","920","test_admin_can_create_user[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","173","test_update_profile_bad_name[chromium-]","src.tests.api","2026-07-15","passed","2026-07-15","TestUpdateProfile","update_profile_test","",""
"","532","test_admin_can_create_user[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","1149","test_transfer_invalid_amount[firefox--1-\u274c Error: Invalid transfer: insufficient funds or invalid accounts]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","380","test_deposit_incorrect_balance[webkit-5000.1-\u274c Please deposit less or equal to 5000$.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","163","test_transfer_with_fraud_check[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","419","test_transfer_empty_form[chromium]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","126","test_transfer_with_fraud_check_invalid_amount[chromium--0.01-Invalid accounts or amount]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
"","1894","test_user_can_create_account[webkit]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateAccount","create_account_ui_test","",""
"","441","test_account_not_selected_deposit[firefox]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","417","test_deposit_incorrect_balance[webkit--1-\u274c Please enter a valid amount.]","src.tests.ui","2026-07-15","passed","2026-07-15","TestDeposit","deposit_ui_test","",""
"","915","test_transfer_invalid_amount[chromium--1-\u274c Error: Invalid transfer: insufficient funds or invalid accounts]","src.tests.ui","2026-07-15","passed","2026-07-15","TestTransfer","transfer_ui_test","",""
"","188","test_admin_cannot_create_user_with_invalid_data[chromium-new_user_request0]","src.tests.ui","2026-07-15","passed","2026-07-15","TestCreateUser","create_user_ui_test","",""
"","138","test_transfer_with_fraud_check_manual_review[chromium]","src.tests.api","2026-07-15","passed","2026-07-15","TestTransferWithFraudCheck","transfer_with_fraud_check_test","",""
