"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","test_create_invalid_user[chromium-bZlYTRRPQdxpsKcV-lL&v8sCE96-USER-username-Username must be between 3 and 15 characters]","src.tests.api","2026-07-14","passed","2026-07-14","TestCreateUser","create_user_test","",""
"","303","test_admin_cannot_create_user_with_invalid_data[firefox-new_user_request0]","src.tests.ui","2026-07-14","passed","2026-07-14","TestCreateUser","create_user_ui_test","",""
"","1300","test_transfer_between_users[firefox]","src.tests.ui","2026-07-14","passed","2026-07-14","TestTransfer","transfer_ui_test","",""
"","106","test_deposit_incorrect_balance[chromium-0-Invalid account or amount]","src.tests.api","2026-07-14","passed","2026-07-14","TestDeposit","deposit_test","",""
"","92","test_create_invalid_user[chromium-@ciyiZL-4F1bB$dD4o-USER-username-Username must contain only letters, digits, dashes, underscores, and dots]","src.tests.api","2026-07-14","passed","2026-07-14","TestCreateUser","create_user_test","",""
"","180","test_update_profile_bad_name[chromium-John Smith.]","src.tests.api","2026-07-14","passed","2026-07-14","TestUpdateProfile","update_profile_test","",""
"","1972","test_admin_can_login_with_correct_data[webkit]","src.tests.ui","2026-07-14","passed","2026-07-14","TestLoginUser","login_user_ui_test","",""
"","130","test_create_account[chromium]","src.tests.api","2026-07-14","passed","2026-07-14","TestCreateAccount","create_account_test","",""
"","732","test_transfer_below_minimum[chromium]","src.tests.api","2026-07-14","passed","2026-07-14","TestTransfer","transfer_test","",""
"","589","test_user_can_deposit[chromium]","src.tests.ui","2026-07-14","passed","2026-07-14","TestDeposit","deposit_ui_test","",""
"","280","test_deposit_incorrect_balance[chromium-5000.1-\u274c Please deposit less or equal to 5000$.]","src.tests.ui","2026-07-14","passed","2026-07-14","TestDeposit","deposit_ui_test","",""
"","427","test_deposit_incorrect_balance[firefox--1-\u274c Please enter a valid amount.]","src.tests.ui","2026-07-14","passed","2026-07-14","TestDeposit","deposit_ui_test","",""
